통계표,항목명1,항목명2,단위,가중치,변환,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02
"7.6.1 수입물가지수(기본분류)(2015=100)","    비금속광물제품","원화기준","2015=100","11.9","원자료","91.89","93.61","93.17","93.03","92.95","95.29","97.78","97.31","97.27","98.94","98.74","98.20","98.31","98.83","99.35","100.16","103.53","102.83","102.85","106.75","105.72","104.90","103.75","104.33","103.35","105.24","107.90","107.96","108.29","107.12","106.51","106.45","105.72","103.15","100.86","101.66","103.65","105.68","107.15","109.12","110.57","111.05","114.39","115.90","116.80","118.84","118.40","120.94","122.60","123.04"
"7.6.1 수입물가지수(기본분류)(2015=100)","    제1차금속제품","원화기준","2015=100","94.4","원자료","111.08","113.60","112.04","112.37","114.00","116.09","116.47","114.98","114.23","115.50","113.54","110.84","109.72","112.27","114.09","114.71","115.95","114.13","114.53","117.02","116.37","113.46","111.00","112.31","112.52","113.30","112.38","109.36","110.18","111.37","113.40","114.96","115.84","113.79","114.10","119.15","123.31","128.46","134.16","136.67","143.80","145.82","152.08","155.47","158.85","169.06","164.95","161.56","169.31","172.43"
"7.6.1 수입물가지수(기본분류)(2015=100)","    금속가공제품","원화기준","2015=100","8.6","원자료","101.17","103.15","104.12","103.69","104.13","105.67","108.91","108.61","108.43","109.24","108.92","108.54","108.78","108.18","108.85","109.64","113.80","114.51","115.06","118.78","117.43","116.11","114.36","114.75","112.78","115.48","118.57","118.73","119.21","117.33","116.12","112.19","111.51","108.38","105.90","104.27","104.96","105.97","107.16","109.25","109.62","109.56","112.14","113.82","120.73","121.50","121.42","121.56","124.50","124.89"
"7.6.1 수입물가지수(기본분류)(2015=100)","    컴퓨터,전자및광학기기","원화기준","2015=100","142.6","원자료","91.17","92.24","91.61","89.49","89.64","90.40","91.49","91.37","90.94","91.53","92.61","92.16","90.69","90.71","92.17","91.44","94.08","92.28","91.14","92.40","90.41","89.14","88.42","89.01","88.18","90.30","92.49","93.00","93.10","91.78","89.78","89.41","88.96","86.23","84.85","83.87","84.43","85.79","87.18","87.59","87.99","88.22","90.19","91.21","90.83","91.41","91.14","90.97","91.32","91.44"
"7.6.1 수입물가지수(기본분류)(2015=100)","    전기장비","원화기준","2015=100","33.3","원자료","93.31","94.49","122.46","121.87","122.66","125.14","127.80","127.65","128.11","129.07","129.42","129.34","128.96","128.82","129.81","130.83","135.41","134.57","135.42","138.99","137.15","135.65","133.01","134.27","131.15","133.22","135.52","135.83","135.77","133.05","133.16","132.27","130.56","127.21","123.85","121.77","122.73","124.03","125.92","124.56","125.22","125.11","128.89","130.43","126.63","128.07","128.04","129.04","133.87","135.07"
"7.6.1 수입물가지수(기본분류)(2015=100)","    기계및장비","원화기준","2015=100","61.5","원자료","97.14","99.47","99.34","98.67","98.20","99.13","101.37","101.28","101.25","101.70","101.10","100.83","101.66","101.12","101.75","102.29","106.10","106.17","105.97","109.04","107.33","107.05","105.47","106.29","105.37","107.12","110.48","110.66","111.23","110.54","110.62","110.71","109.77","106.87","104.81","103.97","104.28","104.88","105.61","104.45","105.32","104.68","106.06","107.54","108.61","108.22","107.48","107.36","109.12","110.13"
"7.6.1 수입물가지수(기본분류)(2015=100)","    운송장비","원화기준","2015=100","33","원자료","103.05","103.78","103.35","102.63","101.38","102.31","104.26","103.56","104.68","104.70","104.17","104.00","104.24","103.96","104.30","104.95","107.11","106.79","106.51","107.98","106.91","106.41","105.36","106.30","105.49","106.19","108.17","107.81","107.96","108.06","108.04","108.44","108.04","106.42","105.43","105.36","105.47","105.73","106.10","105.83","106.25","105.99","106.46","106.91","107.25","107.09","106.90","105.53","106.82","106.92"
"7.6.1 수입물가지수(기본분류)(2015=100)","    기타제조업제품","원화기준","2015=100","11.9","원자료","101.02","101.42","101.13","100.60","100.12","100.90","102.76","102.45","102.49","105.83","105.37","104.68","105.05","104.77","105.19","106.69","107.83","107.79","108.58","113.14","112.81","112.08","111.11","111.63","111.12","112.28","114.28","114.15","114.36","113.96","113.80","113.68","112.08","110.20","108.84","108.23","108.48","108.94","109.34","108.74","109.24","108.89","109.89","112.27","112.75","113.72","113.31","113.19","117.90","118.15"
   7.6.1 수입물가지수(기본분류)(2015=100)
통계담당 : 한국은행 경제통계국 물가통계팀(02-759-4437)
주 : 주1) : 금월지수는 잠정치이며, 익월지수 공표시 확정됨
주2) : 2010년 이후 가중치는 매년 변경되며, 2021년 적용되는 가중치를 표기하였음.

